Model,MAE,RMSE,R2 Score
Random Forest,2822.7176498939657,7991.310278652215,0.991189017659985
XGBoost,4222.77490234375,8054.368007485131,0.9910494089126587
Gradient Boosting,15668.08126373313,25789.023293813298,0.9082390010233803
Linear Regression,29923.86159074639,42703.457342615555,0.7483978086105882
Ridge Regression,29885.649890401557,42717.566964107245,0.7482315177111409
